Album,Artist
"I Love You, Honeybear","Father John Misty"
"Room On Fire","The Strokes"
"Crumbling","Mid-Air Thief"
"The Rise and Fall of Ziggy Stardust and the Spiders from Mars","David Bowie"
"The Stranger","Billy Joel"
"Ultra Ego","Feed Me Jack"
"Wincing The Night Away","The Shins"
"Chet Baker Sings","Chet Baker"
"Yume (ゆめ)","Lamp"
"Locket","Crumb"
"WORRY.","Jeff Rosenstock"
"Avantdale Bowling Club","Avantdale Bowling Club"
"Titanic Rising","Weyes Blood"
"I'm Wide Awake, It's Morning","Bright Eyes"
"Yankee Hotel Foxtrot","Wilco"
"Wolfgang Amadeus Phoenix","Phoenix"
"For You","Tatsuro Yamashita"
"Details","Frou Frou"
"Juturna","Circa Survive"
"Waltz For Debby","Bill Evans Trio"
"Led Zeppelin IV","Led Zeppelin"
"Apricot Princess","Rex Orange County"
"Whatever People Say I Am, That's What I'm Not","Arctic Monkeys"
"Plastic Beach","Gorillaz"
"I Am","Earth, Wind & Fire"
